type,price,pnl,capital,timestamp
SELL,26295.69921875,0.0,100000.0,2026-01-06 18:01:21.787466
CLOSE,26309.69921875,-14.0,99986.0,2026-01-06 18:01:21.788703
SELL,26316.55078125,0.0,99986.0,2026-01-06 18:01:21.789351
CLOSE,26292.0,24.55078125,100010.55078125,2026-01-06 18:01:21.789606
SELL,26292.0,0.0,100010.55078125,2026-01-06 18:01:21.789628
CLOSE,26319.19921875,-27.19921875,99983.3515625,2026-01-06 18:01:21.789798
SELL,26366.19921875,0.0,99983.3515625,2026-01-06 18:01:21.790942
CLOSE,26371.05078125,-4.8515625,99978.5,2026-01-06 18:01:21.791013
SELL,26344.94921875,0.0,99978.5,2026-01-06 18:01:21.792155
CLOSE,26358.150390625,-13.201171875,99965.298828125,2026-01-06 18:01:21.792407
SELL,26356.44921875,0.0,99965.298828125,2026-01-06 18:01:21.792602
CLOSE,26349.599609375,6.849609375,99972.1484375,2026-01-06 18:01:21.792975
SELL,26349.599609375,0.0,99972.1484375,2026-01-06 18:01:21.792998
CLOSE,26363.599609375,-14.0,99958.1484375,2026-01-06 18:01:21.793170
SELL,26354.900390625,0.0,99958.1484375,2026-01-06 18:01:21.793423
CLOSE,26353.25,1.650390625,99959.798828125,2026-01-06 18:01:21.794067
SELL,26353.25,0.0,99959.798828125,2026-01-06 18:01:21.794090
CLOSE,26318.94921875,34.30078125,99994.099609375,2026-01-06 18:01:21.795176
SELL,26318.94921875,0.0,99994.099609375,2026-01-06 18:01:21.795200
CLOSE,26332.0,-13.05078125,99981.048828125,2026-01-06 18:01:21.795701
SELL,26332.75,0.0,99981.048828125,2026-01-06 18:01:21.796036
CLOSE,26331.849609375,0.900390625,99981.94921875,2026-01-06 18:01:21.796323
SELL,26331.849609375,0.0,99981.94921875,2026-01-06 18:01:21.796342
CLOSE,26319.55078125,12.298828125,99994.248046875,2026-01-06 18:01:21.796933
SELL,26319.55078125,0.0,99994.248046875,2026-01-06 18:01:21.796955
CLOSE,26334.55078125,-15.0,99979.248046875,2026-01-06 18:01:21.797852
SELL,26331.349609375,0.0,99979.248046875,2026-01-06 18:01:21.799436
CLOSE,26339.25,-7.900390625,99971.34765625,2026-01-06 18:01:21.799871
SELL,26342.44921875,0.0,99971.34765625,2026-01-06 18:01:21.800280
CLOSE,26324.150390625,18.298828125,99989.646484375,2026-01-06 18:01:21.800948
SELL,26324.150390625,0.0,99989.646484375,2026-01-06 18:01:21.800968
CLOSE,26304.75,19.400390625,100009.046875,2026-01-06 18:01:21.802197
SELL,26304.75,0.0,100009.046875,2026-01-06 18:01:21.802223
CLOSE,26297.44921875,7.30078125,100016.34765625,2026-01-06 18:01:21.802362
SELL,26297.44921875,0.0,100016.34765625,2026-01-06 18:01:21.802381
CLOSE,26281.44921875,16.0,100032.34765625,2026-01-06 18:01:21.803085
SELL,26281.44921875,0.0,100032.34765625,2026-01-06 18:01:21.803105
CLOSE,26296.30078125,-14.8515625,100017.49609375,2026-01-06 18:01:21.803340
SELL,26259.30078125,0.0,100017.49609375,2026-01-06 18:01:21.804054
CLOSE,26211.349609375,47.951171875,100065.447265625,2026-01-06 18:01:21.804575
SELL,26211.349609375,0.0,100065.447265625,2026-01-06 18:01:21.804593
CLOSE,26224.30078125,-12.951171875,100052.49609375,2026-01-06 18:01:21.804925
BUY,26224.30078125,0.0,100052.49609375,2026-01-06 18:01:21.804946
CLOSE,26220.0,-4.30078125,100048.1953125,2026-01-06 18:01:21.805601
SELL,26220.0,0.0,100048.1953125,2026-01-06 18:01:21.805622
CLOSE,26234.099609375,-14.099609375,100034.095703125,2026-01-06 18:01:21.805914
SELL,26227.25,0.0,100034.095703125,2026-01-06 18:01:21.806213
CLOSE,26240.55078125,-13.30078125,100020.794921875,2026-01-06 18:01:21.806344
SELL,26265.80078125,0.0,100020.794921875,2026-01-06 18:01:21.808061
CLOSE,26262.5,3.30078125,100024.095703125,2026-01-06 18:01:21.808389
SELL,26262.5,0.0,100024.095703125,2026-01-06 18:01:21.808410
CLOSE,26248.400390625,14.099609375,100038.1953125,2026-01-06 18:01:21.808854
SELL,26248.400390625,0.0,100038.1953125,2026-01-06 18:01:21.808875
CLOSE,26246.25,2.150390625,100040.345703125,2026-01-06 18:01:21.809078
SELL,26246.25,0.0,100040.345703125,2026-01-06 18:01:21.809094
CLOSE,26240.5,5.75,100046.095703125,2026-01-06 18:01:21.809402
SELL,26240.5,0.0,100046.095703125,2026-01-06 18:01:21.809419
CLOSE,26237.55078125,2.94921875,100049.044921875,2026-01-06 18:01:21.809610
SELL,26237.55078125,0.0,100049.044921875,2026-01-06 18:01:21.809630
CLOSE,26246.25,-8.69921875,100040.345703125,2026-01-06 18:01:21.809858
SELL,26234.80078125,0.0,100040.345703125,2026-01-06 18:01:21.809991
CLOSE,26244.650390625,-9.849609375,100030.49609375,2026-01-06 18:01:21.810109
